;team;date;attaque;milieu;defense;budget_transfert
3254;Real Valladolid FIFA 21;28 Janvier 2021 ;76;76;74;€3.100.000
3255;SD Huesca FIFA 21;28 Janvier 2021 ;72;73;74;€2.100.000
3256;Elche CF FIFA 21;28 Janvier 2021 ;72;73;72;€1.700.000
3257;Cádiz CF FIFA 21;28 Janvier 2021 ;75;72;71;€2.000.000
3258;Real Madrid CF FIFA 21;10 Décembre 2020 ;84;87;84;€188.500.000
3259;FC Barcelona FIFA 21;10 Décembre 2020 ;83;85;83;€180.500.000
3260;Atlético de Madrid FIFA 21;10 Décembre 2020 ;84;82;82;€68.500.000
3261;Villarreal CF FIFA 21;10 Décembre 2020 ;81;80;79;€33.000.000
3262;Séville FC FIFA 21;10 Décembre 2020 ;80;80;82;€34.500.000
3263;Real Sociedad FIFA 21;10 Décembre 2020 ;81;81;77;€15.500.000
3264;Athletic Bilbao FIFA 21;10 Décembre 2020 ;79;78;80;€18.500.000
3265;Real Betis Balompié FIFA 21;10 Décembre 2020 ;76;79;78;€16.000.000
3266;Grenade CF FIFA 21;10 Décembre 2020 ;77;77;77;€7.500.000
3267;Getafe CF FIFA 21;10 Décembre 2020 ;77;77;77;€8.500.000
3268;Valence CF FIFA 21;10 Décembre 2020 ;76;75;79;€60.000.000
3269;RC Celta de Vigo FIFA 21;10 Décembre 2020 ;80;75;76;€12.000.000
3270;Levante UD FIFA 21;10 Décembre 2020 ;78;76;75;€9.500.000
3271;CA Osasuna FIFA 21;10 Décembre 2020 ;77;76;74;€4.800.000
3272;Deportivo Alavés FIFA 21;10 Décembre 2020 ;77;74;76;€4.400.000
3273;SD Eibar FIFA 21;10 Décembre 2020 ;75;77;74;€6.500.000
3274;Real Valladolid FIFA 21;10 Décembre 2020 ;76;76;74;€3.100.000
3275;SD Huesca FIFA 21;10 Décembre 2020 ;72;73;74;€2.100.000
3276;Elche CF FIFA 21;10 Décembre 2020 ;73;73;72;€1.700.000
3277;Cádiz CF FIFA 21;10 Décembre 2020 ;73;72;71;€2.000.000
3278;Real Madrid CF FIFA 21;26 Novembre 2020 ;84;87;84;€188.500.000
3279;FC Barcelona FIFA 21;26 Novembre 2020 ;84;87;82;€180.500.000
3280;Atlético de Madrid FIFA 21;26 Novembre 2020 ;84;82;82;€68.500.000
3281;Villarreal CF FIFA 21;26 Novembre 2020 ;81;80;79;€33.000.000
3282;Séville FC FIFA 21;26 Novembre 2020 ;80;80;81;€34.500.000
3283;Real Sociedad FIFA 21;26 Novembre 2020 ;81;81;77;€15.500.000
3284;Athletic Bilbao FIFA 21;26 Novembre 2020 ;79;78;80;€18.500.000
3285;Real Betis Balompié FIFA 21;26 Novembre 2020 ;76;79;78;€16.000.000
3286;Getafe CF FIFA 21;26 Novembre 2020 ;77;77;78;€8.500.000
3287;Grenade CF FIFA 21;26 Novembre 2020 ;77;77;77;€7.500.000
3288;Valence CF FIFA 21;26 Novembre 2020 ;77;76;77;€60.000.000
3289;RC Celta de Vigo FIFA 21;26 Novembre 2020 ;80;75;76;€12.000.000
3290;Levante UD FIFA 21;26 Novembre 2020 ;78;76;75;€9.500.000
3291;Deportivo Alavés FIFA 21;26 Novembre 2020 ;77;74;76;€4.400.000
3292;CA Osasuna FIFA 21;26 Novembre 2020 ;76;77;74;€4.800.000
3293;SD Eibar FIFA 21;26 Novembre 2020 ;75;77;74;€6.500.000
3294;Real Valladolid FIFA 21;26 Novembre 2020 ;76;76;74;€3.100.000
3295;SD Huesca FIFA 21;26 Novembre 2020 ;72;73;74;€2.100.000
3296;Elche CF FIFA 21;26 Novembre 2020 ;73;73;71;€1.700.000
3297;Cádiz CF FIFA 21;26 Novembre 2020 ;73;72;71;€2.000.000
3298;Real Madrid CF FIFA 21;27 Octobre 2020 ;84;86;85;€188.500.000
3299;FC Barcelona FIFA 21;27 Octobre 2020 ;84;85;83;€180.500.000
3300;Atlético de Madrid FIFA 21;27 Octobre 2020 ;84;82;82;€68.500.000
3301;Villarreal CF FIFA 21;27 Octobre 2020 ;82;79;79;€33.000.000
3302;Séville FC FIFA 21;27 Octobre 2020 ;80;80;81;€34.500.000
3303;Real Sociedad FIFA 21;27 Octobre 2020 ;81;81;77;€15.500.000
3304;Athletic Bilbao FIFA 21;27 Octobre 2020 ;79;78;80;€18.500.000
3305;Valence CF FIFA 21;27 Octobre 2020 ;77;78;77;€60.000.000
3306;Real Betis Balompié FIFA 21;27 Octobre 2020 ;76;79;78;€16.000.000
3307;Grenade CF FIFA 21;27 Octobre 2020 ;77;77;77;€7.500.000
3308;Getafe CF FIFA 21;27 Octobre 2020 ;76;77;78;€8.500.000
3309;Levante UD FIFA 21;27 Octobre 2020 ;78;76;75;€9.500.000
3310;RC Celta de Vigo FIFA 21;27 Octobre 2020 ;78;74;76;€12.000.000
3311;Real Valladolid FIFA 21;27 Octobre 2020 ;77;75;74;€3.100.000
3312;Deportivo Alavés FIFA 21;27 Octobre 2020 ;77;74;76;€4.400.000
3313;SD Eibar FIFA 21;27 Octobre 2020 ;76;77;74;€6.500.000
3314;CA Osasuna FIFA 21;27 Octobre 2020 ;76;76;74;€4.800.000
3315;SD Huesca FIFA 21;27 Octobre 2020 ;72;73;74;€2.100.000
3316;Elche CF FIFA 21;27 Octobre 2020 ;70;72;71;€1.700.000
3317;Cádiz CF FIFA 21;27 Octobre 2020 ;76;72;71;€2.000.000
3318;Real Madrid CF FIFA 21;23 Septembre 2020 ;85;85;85;€188.500.000
3319;FC Barcelona FIFA 21;23 Septembre 2020 ;83;86;84;€180.500.000
3320;Atlético de Madrid FIFA 21;23 Septembre 2020 ;81;83;82;€68.500.000
3321;Villarreal CF FIFA 21;23 Septembre 2020 ;82;79;79;€33.000.000
3322;Séville FC FIFA 21;23 Septembre 2020 ;80;80;81;€34.500.000
3323;Real Sociedad FIFA 21;23 Septembre 2020 ;81;81;77;€15.500.000
3324;Athletic Bilbao FIFA 21;23 Septembre 2020 ;79;79;79;€18.500.000
3325;Real Betis Balompié FIFA 21;23 Septembre 2020 ;78;80;78;€16.000.000
3326;Valence CF FIFA 21;23 Septembre 2020 ;78;77;78;€60.000.000
3327;Getafe CF FIFA 21;23 Septembre 2020 ;77;77;77;€8.500.000
3328;RC Celta de Vigo FIFA 21;23 Septembre 2020 ;80;75;76;€12.000.000
3329;Levante UD FIFA 21;23 Septembre 2020 ;78;77;75;€9.500.000
3330;Grenade CF FIFA 21;23 Septembre 2020 ;77;76;77;€7.500.000
3331;Deportivo Alavés FIFA 21;23 Septembre 2020 ;77;74;76;€4.400.000
3332;SD Eibar FIFA 21;23 Septembre 2020 ;76;76;74;€6.500.000
3333;Real Valladolid FIFA 21;23 Septembre 2020 ;76;76;74;€3.100.000
3334;CA Osasuna FIFA 21;23 Septembre 2020 ;75;76;75;€4.800.000
3335;SD Huesca FIFA 21;23 Septembre 2020 ;72;72;73;€2.100.000
3336;Cádiz CF FIFA 21;23 Septembre 2020 ;73;72;71;€2.000.000
3337;Elche CF FIFA 21;23 Septembre 2020 ;69;70;68;€1.700.000
3338;FC Barcelona FIFA 21;24 Août 2020 ;87;84;84;€180.500.000
3339;Real Madrid CF FIFA 21;24 Août 2020 ;86;86;85;€188.500.000
3340;Atlético de Madrid FIFA 21;24 Août 2020 ;81;82;82;€68.500.000
3341;Real Sociedad FIFA 21;24 Août 2020 ;81;81;77;€15.500.000
3342;Séville FC FIFA 21;24 Août 2020 ;80;79;81;€34.500.000
3343;Villarreal CF FIFA 21;24 Août 2020 ;82;79;79;€33.000.000
3344;Athletic Bilbao FIFA 21;24 Août 2020 ;79;78;80;€18.500.000
3345;Valence CF FIFA 21;24 Août 2020 ;80;77;78;€60.000.000
3346;Real Betis Balompié FIFA 21;24 Août 2020 ;78;80;78;€16.000.000
3347;Getafe CF FIFA 21;24 Août 2020 ;78;77;78;€8.500.000
3348;Levante UD FIFA 21;24 Août 2020 ;78;77;75;€9.500.000
3349;RC Celta de Vigo FIFA 21;24 Août 2020 ;78;75;76;€12.000.000
3350;SD Eibar FIFA 21;24 Août 2020 ;76;77;74;€6.500.000
3351;Grenade CF FIFA 21;24 Août 2020 ;76;76;76;€7.500.000
3352;CA Osasuna FIFA 21;24 Août 2020 ;76;76;74;€4.800.000
3353;Real Valladolid FIFA 21;24 Août 2020 ;76;76;74;€3.100.000
3354;Deportivo Alavés FIFA 21;24 Août 2020 ;76;74;75;€4.400.000
3355;Cádiz CF FIFA 21;24 Août 2020 ;73;72;71;€2.000.000
3356;SD Huesca FIFA 21;24 Août 2020 ;69;71;72;€2.100.000
3357;Elche CF FIFA 21;24 Août 2020 ;71;70;68;€1.700.000
3358;FC Barcelone FIFA 20;29 Juillet 2020 ;88;85;85;€188.000.000
3359;Real Madrid CF FIFA 20;29 Juillet 2020 ;85;87;85;€188.500.000
3360;Atlético Madrid FIFA 20;29 Juillet 2020 ;81;83;82;€68.500.000
3361;Valence CF FIFA 20;29 Juillet 2020 ;81;81;81;€66.500.000
3362;Real Betis Balompié FIFA 20;29 Juillet 2020 ;81;81;78;€16.000.000
3363;Séville FC FIFA 20;29 Juillet 2020 ;79;81;80;€34.500.000
3364;Real Sociedad FIFA 20;29 Juillet 2020 ;81;80;77;€15.500.000
3365;Villarreal CF FIFA 20;29 Juillet 2020 ;80;79;78;€33.000.000
3366;Athletic Bilbao FIFA 20;29 Juillet 2020 ;79;79;79;€18.500.000
3367;Getafe CF FIFA 20;29 Juillet 2020 ;80;77;78;€5.500.000
3368;RC Celta de Vigo FIFA 20;29 Juillet 2020 ;80;77;76;€12.000.000
3369;Espanyol Barcelone FIFA 20;29 Juillet 2020 ;78;78;76;€10.500.000
3370;SD Eibar FIFA 20;29 Juillet 2020 ;77;78;75;€5.500.000
3371;Levante UD FIFA 20;29 Juillet 2020 ;77;77;76;€8.000.000
3372;Real Valladolid FIFA 20;29 Juillet 2020 ;76;76;73;€3.100.000
3373;Deportivo Alavés FIFA 20;29 Juillet 2020 ;76;75;76;€4.400.000
3374;Grenade CF FIFA 20;29 Juillet 2020 ;76;75;75;€5.500.000
3375;CD Leganés FIFA 20;29 Juillet 2020 ;75;75;75;€4.200.000
3376;CA Osasuna FIFA 20;29 Juillet 2020 ;76;74;74;€4.300.000
3377;RCD Majorque FIFA 20;29 Juillet 2020 ;76;73;72;€2.300.000
3378;FC Barcelone FIFA 20;24 Juin 2020 ;88;85;85;€188.000.000
3379;Real Madrid CF FIFA 20;24 Juin 2020 ;85;87;85;€188.500.000
3380;Atlético Madrid FIFA 20;24 Juin 2020 ;81;83;82;€68.500.000
3381;Valence CF FIFA 20;24 Juin 2020 ;81;81;81;€66.500.000
3382;Real Betis Balompié FIFA 20;24 Juin 2020 ;81;81;78;€16.000.000
3383;Séville FC FIFA 20;24 Juin 2020 ;79;81;80;€34.500.000
3384;Real Sociedad FIFA 20;24 Juin 2020 ;81;80;77;€15.500.000
3385;Villarreal CF FIFA 20;24 Juin 2020 ;80;79;78;€33.000.000
3386;Athletic Bilbao FIFA 20;24 Juin 2020 ;79;79;79;€18.500.000
3387;Getafe CF FIFA 20;24 Juin 2020 ;80;77;78;€5.500.000
3388;RC Celta de Vigo FIFA 20;24 Juin 2020 ;80;77;76;€12.000.000
3389;Espanyol Barcelone FIFA 20;24 Juin 2020 ;78;78;76;€10.500.000
3390;SD Eibar FIFA 20;24 Juin 2020 ;78;78;75;€5.500.000
3391;Levante UD FIFA 20;24 Juin 2020 ;77;77;76;€8.000.000
3392;Real Valladolid FIFA 20;24 Juin 2020 ;76;76;73;€3.100.000
3393;Deportivo Alavés FIFA 20;24 Juin 2020 ;76;75;76;€4.400.000
3394;Grenade CF FIFA 20;24 Juin 2020 ;76;75;75;€5.500.000
3395;CD Leganés FIFA 20;24 Juin 2020 ;75;75;75;€4.200.000
3396;CA Osasuna FIFA 20;24 Juin 2020 ;76;74;74;€4.300.000
3397;RCD Majorque FIFA 20;24 Juin 2020 ;76;73;72;€2.300.000
3398;FC Barcelone FIFA 20;27 Mai 2020 ;88;85;85;€188.000.000
3399;Real Madrid CF FIFA 20;27 Mai 2020 ;85;87;85;€188.500.000
3400;Atlético Madrid FIFA 20;27 Mai 2020 ;81;83;82;€68.500.000
3401;Valence CF FIFA 20;27 Mai 2020 ;81;81;81;€66.500.000
3402;Real Betis Balompié FIFA 20;27 Mai 2020 ;81;81;78;€16.000.000
3403;Séville FC FIFA 20;27 Mai 2020 ;79;81;80;€34.500.000
3404;Real Sociedad FIFA 20;27 Mai 2020 ;81;80;77;€15.500.000
3405;Villarreal CF FIFA 20;27 Mai 2020 ;80;79;78;€33.000.000
3406;Athletic Bilbao FIFA 20;27 Mai 2020 ;79;79;79;€18.500.000
3407;Getafe CF FIFA 20;27 Mai 2020 ;80;77;78;€5.500.000
3408;RC Celta de Vigo FIFA 20;27 Mai 2020 ;80;77;76;€12.000.000
3409;Espanyol Barcelone FIFA 20;27 Mai 2020 ;78;78;76;€10.500.000
3410;SD Eibar FIFA 20;27 Mai 2020 ;78;78;75;€5.500.000
3411;Levante UD FIFA 20;27 Mai 2020 ;77;77;76;€8.000.000
3412;Real Valladolid FIFA 20;27 Mai 2020 ;76;76;73;€3.100.000
3413;Deportivo Alavés FIFA 20;27 Mai 2020 ;76;75;76;€4.400.000
3414;Grenade CF FIFA 20;27 Mai 2020 ;76;75;75;€5.500.000
3415;CD Leganés FIFA 20;27 Mai 2020 ;75;75;75;€4.200.000
3416;CA Osasuna FIFA 20;27 Mai 2020 ;76;74;74;€4.300.000
3417;RCD Majorque FIFA 20;27 Mai 2020 ;76;73;72;€2.300.000
3418;FC Barcelone FIFA 20;29 Avril 2020 ;88;85;85;€188.000.000
3419;Real Madrid CF FIFA 20;29 Avril 2020 ;85;87;85;€188.500.000
3420;Atlético Madrid FIFA 20;29 Avril 2020 ;81;83;82;€68.500.000
3421;Valence CF FIFA 20;29 Avril 2020 ;81;81;81;€66.500.000
3422;Real Betis Balompié FIFA 20;29 Avril 2020 ;81;81;78;€16.000.000
3423;Séville FC FIFA 20;29 Avril 2020 ;79;81;80;€34.500.000
3424;Real Sociedad FIFA 20;29 Avril 2020 ;81;80;76;€15.500.000
3425;Villarreal CF FIFA 20;29 Avril 2020 ;80;79;78;€33.000.000
3426;Athletic Bilbao FIFA 20;29 Avril 2020 ;79;80;80;€18.500.000
3427;Getafe CF FIFA 20;29 Avril 2020 ;80;77;78;€5.500.000
3428;RC Celta de Vigo FIFA 20;29 Avril 2020 ;80;77;76;€12.000.000
3429;Espanyol Barcelone FIFA 20;29 Avril 2020 ;78;78;76;€10.500.000
3430;SD Eibar FIFA 20;29 Avril 2020 ;78;78;75;€5.500.000
3431;Levante UD FIFA 20;29 Avril 2020 ;77;78;76;€8.000.000
3432;Real Valladolid FIFA 20;29 Avril 2020 ;76;76;73;€3.100.000
3433;Deportivo Alavés FIFA 20;29 Avril 2020 ;76;75;76;€4.400.000
3434;Grenade CF FIFA 20;29 Avril 2020 ;76;75;75;€5.500.000
3435;CD Leganés FIFA 20;29 Avril 2020 ;75;75;75;€4.200.000
3436;CA Osasuna FIFA 20;29 Avril 2020 ;76;74;73;€4.300.000
3437;RCD Majorque FIFA 20;29 Avril 2020 ;76;73;72;€2.300.000
3438;FC Barcelone FIFA 20;30 Mars 2020 ;88;85;85;€188.000.000
3439;Real Madrid CF FIFA 20;30 Mars 2020 ;85;87;85;€188.500.000
3440;Atlético Madrid FIFA 20;30 Mars 2020 ;81;83;82;€68.500.000
3441;Valence CF FIFA 20;30 Mars 2020 ;81;81;81;€66.500.000
3442;Real Betis Balompié FIFA 20;30 Mars 2020 ;81;81;78;€16.000.000
3443;Séville FC FIFA 20;30 Mars 2020 ;79;81;80;€34.500.000
3444;Real Sociedad FIFA 20;30 Mars 2020 ;81;80;76;€15.500.000
3445;Villarreal CF FIFA 20;30 Mars 2020 ;80;79;78;€33.000.000
3446;Athletic Bilbao FIFA 20;30 Mars 2020 ;79;79;80;€18.500.000
3447;Getafe CF FIFA 20;30 Mars 2020 ;80;77;78;€5.500.000
3448;RC Celta de Vigo FIFA 20;30 Mars 2020 ;79;77;76;€12.000.000
3449;SD Eibar FIFA 20;30 Mars 2020 ;78;78;75;€5.500.000
3450;Levante UD FIFA 20;30 Mars 2020 ;77;78;76;€8.000.000
3451;Espanyol Barcelone FIFA 20;30 Mars 2020 ;77;78;76;€10.500.000
3452;Real Valladolid FIFA 20;30 Mars 2020 ;76;76;73;€3.100.000
3453;Deportivo Alavés FIFA 20;30 Mars 2020 ;76;75;76;€4.400.000
3454;Grenade CF FIFA 20;30 Mars 2020 ;76;74;75;€5.500.000
3455;CD Leganés FIFA 20;30 Mars 2020 ;75;75;75;€4.200.000
3456;CA Osasuna FIFA 20;30 Mars 2020 ;76;74;73;€4.300.000
3457;RCD Majorque FIFA 20;30 Mars 2020 ;76;73;72;€2.300.000
3458;FC Barcelone FIFA 20;24 Février 2020 ;88;85;85;€188.000.000
3459;Real Madrid CF FIFA 20;24 Février 2020 ;85;87;86;€188.500.000
3460;Atlético Madrid FIFA 20;24 Février 2020 ;81;83;82;€68.500.000
3461;Valence CF FIFA 20;24 Février 2020 ;81;81;81;€66.500.000
3462;Real Betis Balompié FIFA 20;24 Février 2020 ;81;82;78;€16.000.000
3463;Séville FC FIFA 20;24 Février 2020 ;79;80;80;€34.500.000
3464;Athletic Bilbao FIFA 20;24 Février 2020 ;80;80;79;€18.500.000
3465;Villarreal CF FIFA 20;24 Février 2020 ;80;79;78;€33.000.000
3466;Real Sociedad FIFA 20;24 Février 2020 ;80;80;76;€15.500.000
3467;Getafe CF FIFA 20;24 Février 2020 ;80;77;77;€5.500.000
3468;RC Celta de Vigo FIFA 20;24 Février 2020 ;79;75;76;€12.000.000
3469;SD Eibar FIFA 20;24 Février 2020 ;78;78;74;€5.500.000
3470;Levante UD FIFA 20;24 Février 2020 ;77;78;76;€8.000.000
3471;Espanyol Barcelone FIFA 20;24 Février 2020 ;77;78;76;€10.500.000
3472;Real Valladolid FIFA 20;24 Février 2020 ;76;76;73;€3.100.000
3473;Deportivo Alavés FIFA 20;24 Février 2020 ;76;75;76;€4.400.000
3474;CD Leganés FIFA 20;24 Février 2020 ;75;75;75;€4.200.000
3475;Grenade CF FIFA 20;24 Février 2020 ;76;74;74;€5.500.000
3476;CA Osasuna FIFA 20;24 Février 2020 ;76;74;73;€4.300.000
3477;RCD Majorque FIFA 20;24 Février 2020 ;74;73;72;€2.300.000
3478;FC Barcelone FIFA 20;30 Janvier 2020 ;88;85;85;€188.000.000
3479;Real Madrid CF FIFA 20;30 Janvier 2020 ;86;87;85;€188.500.000
3480;Atlético Madrid FIFA 20;30 Janvier 2020 ;81;83;82;€68.500.000
3481;Valence CF FIFA 20;30 Janvier 2020 ;81;80;81;€66.500.000
3482;Real Betis Balompié FIFA 20;30 Janvier 2020 ;81;82;77;€16.000.000
3483;Athletic Bilbao FIFA 20;30 Janvier 2020 ;80;80;79;€18.500.000
3484;Séville FC FIFA 20;30 Janvier 2020 ;79;80;79;€34.500.000
3485;Real Sociedad FIFA 20;30 Janvier 2020 ;81;79;76;€15.500.000
3486;Villarreal CF FIFA 20;30 Janvier 2020 ;80;78;78;€33.000.000
3487;Getafe CF FIFA 20;30 Janvier 2020 ;80;77;78;€5.500.000
3488;Espanyol Barcelone FIFA 20;30 Janvier 2020 ;77;78;76;€10.500.000
3489;RC Celta de Vigo FIFA 20;30 Janvier 2020 ;79;75;76;€12.000.000
3490;SD Eibar FIFA 20;30 Janvier 2020 ;78;78;74;€5.500.000
3491;Levante UD FIFA 20;30 Janvier 2020 ;77;78;75;€8.000.000
3492;Real Valladolid FIFA 20;30 Janvier 2020 ;76;76;74;€3.100.000
3493;Deportivo Alavés FIFA 20;30 Janvier 2020 ;76;75;75;€4.400.000
3494;CD Leganés FIFA 20;30 Janvier 2020 ;75;75;75;€4.200.000
3495;Grenade CF FIFA 20;30 Janvier 2020 ;76;74;74;€5.500.000
3496;CA Osasuna FIFA 20;30 Janvier 2020 ;76;74;73;€4.300.000
3497;RCD Majorque FIFA 20;30 Janvier 2020 ;74;73;72;€2.300.000
3498;FC Barcelone FIFA 20;23 Décembre 2019 ;89;85;85;€188.000.000
3499;Real Madrid CF FIFA 20;23 Décembre 2019 ;86;87;86;€188.500.000
3500;Atlético Madrid FIFA 20;23 Décembre 2019 ;82;83;82;€68.500.000
3501;Valence CF FIFA 20;23 Décembre 2019 ;81;81;81;€66.500.000
3502;Real Betis Balompié FIFA 20;23 Décembre 2019 ;81;82;78;€16.000.000
3503;Athletic Bilbao FIFA 20;23 Décembre 2019 ;81;80;79;€18.500.000
3504;Séville FC FIFA 20;23 Décembre 2019 ;79;80;79;€34.500.000
3505;Real Sociedad FIFA 20;23 Décembre 2019 ;81;79;75;€15.500.000
3506;Getafe CF FIFA 20;23 Décembre 2019 ;80;77;78;€5.500.000
3507;Villarreal CF FIFA 20;23 Décembre 2019 ;79;78;77;€33.000.000
3508;RC Celta de Vigo FIFA 20;23 Décembre 2019 ;78;78;75;€12.000.000
3509;SD Eibar FIFA 20;23 Décembre 2019 ;77;78;76;€5.500.000
3510;Espanyol Barcelone FIFA 20;23 Décembre 2019 ;77;78;76;€10.500.000
3511;Levante UD FIFA 20;23 Décembre 2019 ;77;77;75;€8.000.000
3512;Deportivo Alavés FIFA 20;23 Décembre 2019 ;75;75;76;€4.400.000
3513;Real Valladolid FIFA 20;23 Décembre 2019 ;76;75;74;€3.100.000
3514;CD Leganés FIFA 20;23 Décembre 2019 ;75;75;75;€4.200.000
3515;CA Osasuna FIFA 20;23 Décembre 2019 ;75;74;72;€4.300.000
3516;Grenade CF FIFA 20;23 Décembre 2019 ;75;73;73;€5.500.000
3517;RCD Majorque FIFA 20;23 Décembre 2019 ;74;73;72;€2.300.000
3518;FC Barcelone FIFA 20;21 Novembre 2019 ;90;85;85;€188.000.000
3519;Real Madrid CF FIFA 20;21 Novembre 2019 ;86;87;86;€188.500.000
3520;Atlético Madrid FIFA 20;21 Novembre 2019 ;82;83;82;€68.500.000
3521;Valence CF FIFA 20;21 Novembre 2019 ;81;81;81;€66.500.000
3522;Real Betis Balompié FIFA 20;21 Novembre 2019 ;82;82;78;€16.000.000
3523;Athletic Bilbao FIFA 20;21 Novembre 2019 ;80;80;80;€18.500.000
3524;Séville FC FIFA 20;21 Novembre 2019 ;79;80;79;€34.500.000
3525;Real Sociedad FIFA 20;21 Novembre 2019 ;81;79;75;€15.500.000
3526;Villarreal CF FIFA 20;21 Novembre 2019 ;79;78;78;€33.000.000
3527;Getafe CF FIFA 20;21 Novembre 2019 ;79;76;78;€5.500.000
3528;RC Celta de Vigo FIFA 20;21 Novembre 2019 ;80;77;75;€12.000.000
3529;SD Eibar FIFA 20;21 Novembre 2019 ;78;78;76;€5.500.000
3530;Espanyol Barcelone FIFA 20;21 Novembre 2019 ;78;78;76;€10.500.000
3531;Levante UD FIFA 20;21 Novembre 2019 ;77;77;75;€8.000.000
3532;Deportivo Alavés FIFA 20;21 Novembre 2019 ;75;75;76;€4.400.000
3533;Real Valladolid FIFA 20;21 Novembre 2019 ;76;75;73;€3.100.000
3534;CD Leganés FIFA 20;21 Novembre 2019 ;75;75;75;€4.200.000
3535;Grenade CF FIFA 20;21 Novembre 2019 ;75;74;73;€5.500.000
3536;CA Osasuna FIFA 20;21 Novembre 2019 ;75;74;72;€4.300.000
3537;RCD Majorque FIFA 20;21 Novembre 2019 ;73;73;72;€2.300.000
3538;FC Barcelone FIFA 20;30 Octobre 2019 ;90;85;85;€188.000.000
3539;Real Madrid CF FIFA 20;30 Octobre 2019 ;86;87;86;€188.500.000
3540;Atlético Madrid FIFA 20;30 Octobre 2019 ;82;82;81;€68.500.000
3541;Valence CF FIFA 20;30 Octobre 2019 ;81;81;80;€66.500.000
3542;Real Betis Balompié FIFA 20;30 Octobre 2019 ;82;82;78;€16.000.000
3543;Athletic Bilbao FIFA 20;30 Octobre 2019 ;81;79;79;€18.500.000
3544;Séville FC FIFA 20;30 Octobre 2019 ;79;80;79;€34.500.000
3545;Villarreal CF FIFA 20;30 Octobre 2019 ;80;77;78;€33.000.000
3546;Real Sociedad FIFA 20;30 Octobre 2019 ;79;79;76;€15.500.000
3547;SD Eibar FIFA 20;30 Octobre 2019 ;79;78;76;€5.500.000
3548;Getafe CF FIFA 20;30 Octobre 2019 ;79;76;78;€5.500.000
3549;RC Celta de Vigo FIFA 20;30 Octobre 2019 ;80;77;75;€12.000.000
3550;Espanyol Barcelone FIFA 20;30 Octobre 2019 ;77;78;76;€10.500.000
3551;Levante UD FIFA 20;30 Octobre 2019 ;77;78;76;€8.000.000
3552;Deportivo Alavés FIFA 20;30 Octobre 2019 ;75;75;76;€4.400.000
3553;Real Valladolid FIFA 20;30 Octobre 2019 ;76;75;73;€3.100.000
3554;CD Leganés FIFA 20;30 Octobre 2019 ;75;75;75;€4.200.000
3555;Grenade CF FIFA 20;30 Octobre 2019 ;75;74;73;€5.500.000
3556;CA Osasuna FIFA 20;30 Octobre 2019 ;74;74;72;€4.300.000
3557;RCD Majorque FIFA 20;30 Octobre 2019 ;73;73;72;€2.300.000
3558;FC Barcelone FIFA 20;30 Septembre 2019 ;90;85;85;€188.000.000
3559;Real Madrid CF FIFA 20;30 Septembre 2019 ;85;87;86;€188.500.000
3560;Atlético Madrid FIFA 20;30 Septembre 2019 ;82;82;81;€68.500.000
3561;Valence CF FIFA 20;30 Septembre 2019 ;81;81;80;€66.500.000
3562;Real Betis Balompié FIFA 20;30 Septembre 2019 ;81;82;78;€16.000.000
3563;Athletic Bilbao FIFA 20;30 Septembre 2019 ;80;80;79;€18.500.000
3564;Séville FC FIFA 20;30 Septembre 2019 ;79;80;79;€34.500.000
3565;Real Sociedad FIFA 20;30 Septembre 2019 ;80;78;76;€15.500.000
3566;SD Eibar FIFA 20;30 Septembre 2019 ;79;78;76;€5.500.000
3567;Villarreal CF FIFA 20;30 Septembre 2019 ;79;77;78;€33.000.000
3568;Getafe CF FIFA 20;30 Septembre 2019 ;79;76;78;€5.500.000
3569;Espanyol Barcelone FIFA 20;30 Septembre 2019 ;78;78;76;€10.500.000
3570;RC Celta de Vigo FIFA 20;30 Septembre 2019 ;80;77;75;€12.000.000
3571;Levante UD FIFA 20;30 Septembre 2019 ;77;78;76;€8.000.000
3572;Deportivo Alavés FIFA 20;30 Septembre 2019 ;76;75;75;€4.400.000
3573;Real Valladolid FIFA 20;30 Septembre 2019 ;76;75;73;€3.100.000
3574;CD Leganés FIFA 20;30 Septembre 2019 ;75;75;75;€4.200.000
3575;Grenade CF FIFA 20;30 Septembre 2019 ;75;74;73;€5.500.000
3576;CA Osasuna FIFA 20;30 Septembre 2019 ;74;73;71;€4.300.000
3577;RCD Majorque FIFA 20;30 Septembre 2019 ;73;73;72;€2.300.000
3578;FC Barcelone FIFA 20;22 Août 2019 ;89;85;85;€188.000.000
3579;Real Madrid CF FIFA 20;22 Août 2019 ;85;87;86;€188.500.000
3580;Atlético Madrid FIFA 20;22 Août 2019 ;82;83;81;€68.500.000
3581;Valence CF FIFA 20;22 Août 2019 ;81;81;80;€66.500.000
3582;Real Betis Balompié FIFA 20;22 Août 2019 ;81;82;78;€16.000.000
3583;Séville FC FIFA 20;22 Août 2019 ;80;81;79;€34.500.000
3584;Athletic Bilbao FIFA 20;22 Août 2019 ;80;80;79;€18.500.000
3585;Villarreal CF FIFA 20;22 Août 2019 ;80;78;78;€33.000.000
3586;Real Sociedad FIFA 20;22 Août 2019 ;80;77;75;€15.500.000
3587;Getafe CF FIFA 20;22 Août 2019 ;79;76;79;€5.500.000
3588;SD Eibar FIFA 20;22 Août 2019 ;79;78;76;€5.500.000
3589;Espanyol Barcelone FIFA 20;22 Août 2019 ;78;78;76;€10.500.000
